scene,floor,question,choices,question_formatted,answer,label
00004-VqCaAuuoeWk,1,Is the lamp next to the bed on?,"['(Do not choose this option)', 'Yes, it is on', 'No, it is not on', '(Do not choose this option)']","Is the lamp next to the bed on? A) (Do not choose this option) B) Yes, it is on C) No, it is not on D) (Do not choose this option). Answer:",B,existence
00005-yPKGKBCyYx8,0,Is the outdoor grill covered?,"['(Do not choose this option)', 'Yes', '(Do not choose this option)', 'No']",Is the outdoor grill covered? A) (Do not choose this option) B) Yes C) (Do not choose this option) D) No. Answer:,B,count
00005-yPKGKBCyYx8,0,"Which rug is at the shower in the bathroom, one in the bedroom?","['Dark blue', 'Black', 'Gray', 'White']","Which rug is at the shower in the bathroom, one in the bedroom? A) Dark blue B) Black C) Gray D) White. Answer:",C,state
00006-HkseAnWCgqk,0,Did I fold the blanket on the bed in the bedroom?,"['(Do not choose this option)', 'No', 'Yes', '(Do not choose this option)']",Did I fold the blanket on the bed in the bedroom? A) (Do not choose this option) B) No C) Yes D) (Do not choose this option). Answer:,B,identification
00006-HkseAnWCgqk,1,Is the living room light on?,"['(Do not choose this option)', '(Do not choose this option)', 'No', 'Yes']",Is the living room light on? A) (Do not choose this option) B) (Do not choose this option) C) No D) Yes. Answer:,D,existence
00010-DBjEcHFg4oq,0,Is the lamp next to the sofa turned on or off?,"['(Do not choose this option)', 'Off', 'On', '(Do not choose this option)']",Is the lamp next to the sofa turned on or off? A) (Do not choose this option) B) Off C) On D) (Do not choose this option). Answer:,C,count
00013-sfbj7jspYWj,0,Where is the ladder?,"['By the dining table', 'Next to the living room dressor', 'In the bathroom', 'Next to TV']",Where is the ladder? A) By the dining table B) Next to the living room dressor C) In the bathroom D) Next to TV. Answer:,B,existence
00015-LPwS1aEGXBb,0,Is there any wine left under the kitchen island?,"['(Do not choose this option)', 'Yes, there are a few', 'No, there is none', 'Yes, but there is only one left']","Is there any wine left under the kitchen island? A) (Do not choose this option) B) Yes, there are a few C) No, there is none D) Yes, but there is only one left. Answer:",B,state
00015-LPwS1aEGXBb,1,Where did I leave the small gray bench?,"['In the kitchen', 'In the living room', 'In the bathroom', 'In the bedroom']",Where did I leave the small gray bench? A) In the kitchen B) In the living room C) In the bathroom D) In the bedroom. Answer:,C,identification
00015-LPwS1aEGXBb,1,Is the hallway mirror is mounted on the wall or standing on the floor?,"['Mounted on the wall', '(Do not choose this option)', 'Standing on the floor', '(Do not choose this option)']",Is the hallway mirror is mounted on the wall or standing on the floor? A) Mounted on the wall B) (Do not choose this option) C) Standing on the floor D) (Do not choose this option). Answer:,C,state
00023-zepmXAdrpjR,1,Is the kettle on the kitchen counter?,"['(Do not choose this option)', 'Yes', 'No', '(Do not choose this option)']",Is the kettle on the kitchen counter? A) (Do not choose this option) B) Yes C) No D) (Do not choose this option). Answer:,B,existence
00023-zepmXAdrpjR,1,Where did I leave the silver trash can at,"['Next to the dining table', 'Next to the TV', 'Next to the kitchen sink', 'Next to the refrigerator']",Where did I leave the silver trash can at A) Next to the dining table B) Next to the TV C) Next to the kitchen sink D) Next to the refrigerator. Answer:,D,count
00025-ixTj1aTMup2,0,How many bedside tables are there in the bedroom with the white bedding?,"['Three', 'One', 'None', 'Two']",How many bedside tables are there in the bedroom with the white bedding? A) Three B) One C) None D) Two. Answer:,D,state
00025-ixTj1aTMup2,0,Is the gray curtain pulled down in the bedroom with two twin beds?,"['(Do not choose this option)', 'Yes, it is down', 'No, it is up', '(Do not choose this option)']","Is the gray curtain pulled down in the bedroom with two twin beds? A) (Do not choose this option) B) Yes, it is down C) No, it is up D) (Do not choose this option). Answer:",B,count
00025-ixTj1aTMup2,1,Where did I leave the standing fan at? I moved it last week.,"['In the bathroom', 'In the kitchen', 'Next to the TV', 'In the living room']",Where did I leave the standing fan at? I moved it last week. A) In the bathroom B) In the kitchen C) Next to the TV D) In the living room. Answer:,D,count
00025-ixTj1aTMup2,1,Did I leave the fruit bowl next to the microwave?,"['Next to the TV', 'Yes', 'In the bathroom', 'No']",Did I leave the fruit bowl next to the microwave? A) Next to the TV B) Yes C) In the bathroom D) No. Answer:,D,existence
00031-Wo6kuutE9i7,0,Did I leave the blue decorative pillow on one of the living room sofas?,"['On the sofa closer to the clock', 'On neither sofa', 'On the sofa closer to the painting', 'On both sofas']",Did I leave the blue decorative pillow on one of the living room sofas? A) On the sofa closer to the clock B) On neither sofa C) On the sofa closer to the painting D) On both sofas. Answer:,C,count
00033-oPj9qMxrDEa,0,Did you see the woven basket anywhere?,"['By the kitchen counter', 'Between TV and living room sofas', 'Next to the dining table', 'Next to the living room armchairs']",Did you see the woven basket anywhere? A) By the kitchen counter B) Between TV and living room sofas C) Next to the dining table D) Next to the living room armchairs. Answer:,D,state
00033-oPj9qMxrDEa,0,Where did I leave the striped towel?,"['On the dining table', 'On the living room floor', 'In the bathroom', 'By the kitchen sink']",Where did I leave the striped towel? A) On the dining table B) On the living room floor C) In the bathroom D) By the kitchen sink. Answer:,D,state
00035-3XYAD64HpDr,0,Is the kettle on the kitchen countertop?,"['Yes', 'No', '(Do not choose this option)', '(Do not choose this option)']",Is the kettle on the kitchen countertop? A) Yes B) No C) (Do not choose this option) D) (Do not choose this option). Answer:,A,identification
00035-3XYAD64HpDr,0,Are there more than twenty books by the window next to the dining table?,"['(Do not choose this option)', '(Do not choose this option)', 'No', 'Yes']",Are there more than twenty books by the window next to the dining table? A) (Do not choose this option) B) (Do not choose this option) C) No D) Yes. Answer:,C,state
00036-41FNXLAZZgC,0,I forgot where I hung the clock. Do you see it?,"['It is above the kitchen cabinets', 'It is above the dining table', 'It is above the bed', 'It is above the TV']",I forgot where I hung the clock. Do you see it? A) It is above the kitchen cabinets B) It is above the dining table C) It is above the bed D) It is above the TV. Answer:,A,state
00036-41FNXLAZZgC,0,Is my kid on the treadmill?,"['(Do not choose this option)', '(Do not choose this option)', 'No', 'Yes']",Is my kid on the treadmill? A) (Do not choose this option) B) (Do not choose this option) C) No D) Yes. Answer:,C,identification
00037-oKFJo8jpzRW,0,Is there a cushion on the wicker chair in the room with the green walls?,"['Yes', '(Do not choose this option)', '(Do not choose this option)', 'No']",Is there a cushion on the wicker chair in the room with the green walls? A) Yes B) (Do not choose this option) C) (Do not choose this option) D) No. Answer:,A,state
00037-oKFJo8jpzRW,0,"I remember leaving some books in one of the rooms, on wooden shelves.","['(Do not choose this option)', 'In the room with white wall', 'In the room with green wall', 'In the room with orange wall']","I remember leaving some books in one of the rooms, on wooden shelves. A) (Do not choose this option) B) In the room with white wall C) In the room with green wall D) In the room with orange wall. Answer:",C,state
00037-oKFJo8jpzRW,1,I am going to shower now. I need to grab some towels.,"['There are none in the bathroom', 'There is only one in the bathroom', 'There are already some in the bathroom', 'There are some in the bedroom']",I am going to shower now. I need to grab some towels. A) There are none in the bathroom B) There is only one in the bathroom C) There are already some in the bathroom D) There are some in the bedroom. Answer:,C,state
00048-aKwZ7VJDAjr,0,Did I leave the lamp next to the dresser mirror on?,"['(Do not choose this option)', '(Do not choose this option)', 'Yes, it is on', 'No, it is off']","Did I leave the lamp next to the dresser mirror on? A) (Do not choose this option) B) (Do not choose this option) C) Yes, it is on D) No, it is off. Answer:",C,location
00051-CETmJJqkhcK,0,I'm trying to remember where I placed the blue figurine. Is it on top of any dresser in the house?,"['On the white dresser', 'On the wooden dresser', 'On the gray dresser', 'On the black dresser']",I'm trying to remember where I placed the blue figurine. Is it on top of any dresser in the house? A) On the white dresser B) On the wooden dresser C) On the gray dresser D) On the black dresser. Answer:,B,existence
00051-CETmJJqkhcK,0,How many red pillows did I leave on the living room sofa?,"['One', 'Three', 'None', 'Two']",How many red pillows did I leave on the living room sofa? A) One B) Three C) None D) Two. Answer:,D,location
00052-H1D2FZ8TAv1,0,I forgot where the thermostat is.,"['By the TV', 'Next to kitchen counter', 'Next to the entrance door', 'Next to the refrigerator']",I forgot where the thermostat is. A) By the TV B) Next to kitchen counter C) Next to the entrance door D) Next to the refrigerator. Answer:,C,state
00052-H1D2FZ8TAv1,2,Is there a bottle of shampoo inside the glass shower already?,"['(Do not choose this option)', 'No', 'Yes', '(Do not choose this option)']",Is there a bottle of shampoo inside the glass shower already? A) (Do not choose this option) B) No C) Yes D) (Do not choose this option). Answer:,C,existence
00056-kdw2Uapns3b,0,Did I leave the exercise mat under any workout equipment?,"['Yes, under the elliptical machine', 'Yes, under the stationary bike', ""No, it's not under any workout equipment"", 'Yes, under the treadmill']","Did I leave the exercise mat under any workout equipment? A) Yes, under the elliptical machine B) Yes, under the stationary bike C) No, it's not under any workout equipment D) Yes, under the treadmill. Answer:",D,location
00056-kdw2Uapns3b,1,How many pieces of mat I put at the entrance door?,"['One', 'None', 'Two', 'Three']",How many pieces of mat I put at the entrance door? A) One B) None C) Two D) Three. Answer:,C,count
00056-kdw2Uapns3b,1,What time is it now?,"['1-3pm', '6-8am', '9-11pm', '5-7pm']",What time is it now? A) 1-3pm B) 6-8am C) 9-11pm D) 5-7pm. Answer:,A,state
00056-kdw2Uapns3b,2,Which rug did I put at the toilet?,"['Black', 'White/Gray', 'Blue', 'Red']",Which rug did I put at the toilet? A) Black B) White/Gray C) Blue D) Red. Answer:,B,location
00056-kdw2Uapns3b,2,Is the TV in the bedroom with blue wall left turned on?,"['(Do not choose this option)', '(Do not choose this option)', 'Yes', 'No']",Is the TV in the bedroom with blue wall left turned on? A) (Do not choose this option) B) (Do not choose this option) C) Yes D) No. Answer:,D,existence
00057-1UnKg1rAb8A,0,Is the kitchen sink currently free of dishes?,"['(Do not choose this option)', '(Do not choose this option)', ""Yes, it's empty"", 'No, there are dishes']","Is the kitchen sink currently free of dishes? A) (Do not choose this option) B) (Do not choose this option) C) Yes, it's empty D) No, there are dishes. Answer:",C,location
00057-1UnKg1rAb8A,0,Is the front door is currently open or closed?,"[""It's open"", '(Do not choose this option)', 'It is half open', ""It's closed""]",Is the front door is currently open or closed? A) It's open B) (Do not choose this option) C) It is half open D) It's closed. Answer:,D,location
00057-1UnKg1rAb8A,0,Where did I place the decorative owl?,"['In the bathroom', 'On the kitchen counter', 'On the hallway wall', 'On the living room table']",Where did I place the decorative owl? A) In the bathroom B) On the kitchen counter C) On the hallway wall D) On the living room table. Answer:,C,existence
00057-1UnKg1rAb8A,1,Is there a fan somewhere?,"['Yes, it is next to the shower', 'No, there is none', 'Yes, it is next to a bed', 'Yes, it is in the kitchen']","Is there a fan somewhere? A) Yes, it is next to the shower B) No, there is none C) Yes, it is next to a bed D) Yes, it is in the kitchen. Answer:",C,existence
00057-1UnKg1rAb8A,1,I'm looking for my colorful handbag. Do you see it somewhere?,"['It is on the coffee table', 'It is on the wall', 'It is on the living room floor', 'It is next to the TV']",I'm looking for my colorful handbag. Do you see it somewhere? A) It is on the coffee table B) It is on the wall C) It is on the living room floor D) It is next to the TV. Answer:,B,location
